Timestamp,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Light intensity
80,-0.121211,1.163680,8.397372,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
83,-0.166725,1.151702,8.416536,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,344.000000
85,-0.181098,1.178053,8.454864,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,344.000000
88,-0.140375,1.156493,8.521937,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,344.000000
90,-0.142771,1.168471,8.521937,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,344.000000
93,-0.161934,1.144516,8.557869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,344.000000
95,-0.197867,1.110979,8.589010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,344.000000
93,-0.197867,1.110979,8.589010,0.000000,0.000000,0.000000,-19.325577,-0.052132,-38.510735,344.000000
98,-0.200262,1.132539,8.629733,0.000000,0.000000,0.000000,-19.325577,-0.052132,-38.510735,344.000000
100,-0.221821,1.110979,8.682434,0.000000,0.000000,0.000000,-19.325577,-0.052132,-38.510735,344.000000
103,-0.250567,1.103793,8.668061,0.000000,0.000000,0.000000,-19.325577,-0.052132,-38.510735,344.000000
105,-0.250567,1.103793,8.668061,-0.145688,0.031741,-0.091129,-19.325577,-0.052132,-38.510735,344.000000
103,-0.250567,1.103793,8.668061,-0.145688,0.031741,-0.091129,-19.994831,1.646500,-39.200272,344.000000
105,-0.236194,1.151702,8.684830,-0.145688,0.031741,-0.091129,-19.994831,1.646500,-39.200272,344.000000
108,-0.272126,1.151702,8.732739,-0.145688,0.031741,-0.091129,-19.994831,1.646500,-39.200272,344.000000
110,-0.272126,1.151702,8.732739,-0.145156,0.033339,-0.093260,-19.994831,1.646500,-39.200272,344.000000
110,-0.329618,1.108584,8.775859,-0.145156,0.033339,-0.093260,-19.994831,1.646500,-39.200272,344.000000
113,-0.286499,1.156493,8.845326,-0.145156,0.033339,-0.093260,-19.994831,1.646500,-39.200272,344.000000
113,-0.286499,1.156493,8.845326,-0.145156,0.033339,-0.093260,-19.976410,0.521904,-39.805031,344.000000
115,-0.286499,1.156493,8.845326,-0.148884,0.002979,-0.095923,-19.976410,0.521904,-39.805031,344.000000
115,-0.262545,1.132539,8.850118,-0.148884,0.002979,-0.095923,-19.976410,0.521904,-39.805031,344.000000
